vm(0,14).
vm(1,17).
vm(2,4).
vm(3,42).
vm(4,12).
vm(5,4).
vm(6,6).
vm(7,10).
vm(8,0).
vm(9,9).
vm(10,10).
vm(11,67).
vm(12,2).
vm(13,37).
vm(14,154).
vm(15,5).
vm(16,6).
vm(17,2).
vm(18,6).
vm(19,17).
vm(20,1).
vm(21,2).
vm(22,0).
vm(23,25).
vm(24,0).
vm(25,8).
vm(26,12).
vm(27,10).
vm(28,1).
vm(29,11).
vm(30,54).
vm(31,15).
vm(32,5).
vm(33,10).
vm(34,0).
vm(35,5).
vm(36,1).
vm(37,5).
vm(38,4).
vm(39,5).
vm(40,33).
vm(41,2).
vm(42,4).
vm(43,5).
vm(44,0).
vm(45,12).
vm(46,30).
vm(47,0).
vm(48,0).
vm(49,0).
