vm(0,11).
vm(1,30).
vm(2,110).
vm(3,40).
vm(4,16).
vm(5,6).
vm(6,8).
vm(7,10).
vm(8,0).
vm(9,13).
vm(10,10).
vm(11,77).
vm(12,1).
vm(13,52).
vm(14,146).
vm(15,5).
vm(16,4).
vm(17,2).
vm(18,4).
vm(19,12).
vm(20,1).
vm(21,15).
vm(22,8).
vm(23,5).
vm(24,0).
vm(25,6).
vm(26,4).
vm(27,10).
vm(28,0).
vm(29,4).
vm(30,46).
vm(31,15).
vm(32,12).
vm(33,9).
vm(34,0).
vm(35,7).
vm(36,1).
vm(37,5).
vm(38,4).
vm(39,5).
vm(40,23).
vm(41,2).
vm(42,12).
vm(43,0).
vm(44,0).
vm(45,8).
vm(46,70).
vm(47,2).
vm(48,14).
vm(49,4).
