vm(0,11).
vm(1,16).
vm(2,24).
vm(3,45).
vm(4,12).
vm(5,6).
vm(6,2).
vm(7,10).
vm(8,1).
vm(9,17).
vm(10,10).
vm(11,77).
vm(12,2).
vm(13,31).
vm(14,154).
vm(15,0).
vm(16,3).
vm(17,4).
vm(18,18).
vm(19,22).
vm(20,0).
vm(21,3).
vm(22,0).
vm(23,5).
vm(24,2).
vm(25,0).
vm(26,10).
vm(27,20).
vm(28,0).
vm(29,6).
vm(30,62).
vm(31,20).
vm(32,3).
vm(33,8).
vm(34,2).
vm(35,12).
vm(36,8).
vm(37,4).
vm(38,2).
vm(39,2).
vm(40,9).
vm(41,1).
vm(42,16).
vm(43,5).
vm(44,0).
vm(45,10).
vm(46,152).
vm(47,5).
vm(48,2).
vm(49,6).
