vm(0,25).
vm(1,39).
vm(2,34).
vm(3,42).
vm(4,15).
vm(5,2).
vm(6,0).
vm(7,10).
vm(8,0).
vm(9,11).
vm(10,12).
vm(11,147).
vm(12,3).
vm(13,47).
vm(14,150).
vm(15,15).
vm(16,6).
vm(17,6).
vm(18,4).
vm(19,12).
vm(20,2).
vm(21,5).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,2).
vm(26,20).
vm(27,10).
vm(28,0).
vm(29,2).
vm(30,42).
vm(31,20).
vm(32,7).
vm(33,13).
vm(34,2).
vm(35,10).
vm(36,0).
vm(37,5).
vm(38,2).
vm(39,7).
vm(40,29).
vm(41,0).
vm(42,2).
vm(43,5).
vm(44,0).
vm(45,10).
vm(46,0).
vm(47,5).
vm(48,7).
vm(49,6).
