vm(0,11).
vm(1,49).
vm(2,14).
vm(3,52).
vm(4,12).
vm(5,6).
vm(6,0).
vm(7,12).
vm(8,10).
vm(9,13).
vm(10,8).
vm(11,112).
vm(12,2).
vm(13,34).
vm(14,154).
vm(15,5).
vm(16,4).
vm(17,2).
vm(18,4).
vm(19,17).
vm(20,1).
vm(21,9).
vm(22,4).
vm(23,5).
vm(24,1).
vm(25,0).
vm(26,12).
vm(27,10).
vm(28,0).
vm(29,6).
vm(30,46).
vm(31,15).
vm(32,8).
vm(33,10).
vm(34,2).
vm(35,15).
vm(36,13).
vm(37,5).
vm(38,4).
vm(39,0).
vm(40,19).
vm(41,3).
vm(42,0).
vm(43,10).
vm(44,0).
vm(45,8).
vm(46,0).
vm(47,0).
vm(48,3).
vm(49,0).
