vm(0,13).
vm(1,29).
vm(2,2).
vm(3,37).
vm(4,15).
vm(5,6).
vm(6,0).
vm(7,15).
vm(8,0).
vm(9,11).
vm(10,14).
vm(11,87).
vm(12,2).
vm(13,36).
vm(14,154).
vm(15,0).
vm(16,5).
vm(17,4).
vm(18,4).
vm(19,17).
vm(20,1).
vm(21,15).
vm(22,0).
vm(23,5).
vm(24,1).
vm(25,9).
vm(26,52).
vm(27,10).
vm(28,1).
vm(29,2).
vm(30,54).
vm(31,15).
vm(32,5).
vm(33,11).
vm(34,4).
vm(35,12).
vm(36,2).
vm(37,6).
vm(38,8).
vm(39,5).
vm(40,24).
vm(41,0).
vm(42,4).
vm(43,5).
vm(44,1).
vm(45,8).
vm(46,0).
vm(47,0).
vm(48,4).
vm(49,0).
