vm(0,19).
vm(1,49).
vm(2,4).
vm(3,42).
vm(4,24).
vm(5,6).
vm(6,4).
vm(7,10).
vm(8,0).
vm(9,11).
vm(10,12).
vm(11,85).
vm(12,1).
vm(13,47).
vm(14,152).
vm(15,0).
vm(16,8).
vm(17,4).
vm(18,6).
vm(19,17).
vm(20,5).
vm(21,7).
vm(22,0).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,26).
vm(27,15).
vm(28,1).
vm(29,8).
vm(30,48).
vm(31,25).
vm(32,12).
vm(33,12).
vm(34,6).
vm(35,35).
vm(36,9).
vm(37,6).
vm(38,4).
vm(39,5).
vm(40,12).
vm(41,0).
vm(42,0).
vm(43,0).
vm(44,0).
vm(45,10).
vm(46,0).
vm(47,0).
vm(48,9).
vm(49,4).
