vm(0,16).
vm(1,19).
vm(2,60).
vm(3,45).
vm(4,15).
vm(5,6).
vm(6,0).
vm(7,17).
vm(8,6).
vm(9,19).
vm(10,10).
vm(11,110).
vm(12,8).
vm(13,41).
vm(14,156).
vm(15,5).
vm(16,2).
vm(17,2).
vm(18,0).
vm(19,12).
vm(20,6).
vm(21,5).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,0).
vm(26,34).
vm(27,20).
vm(28,4).
vm(29,2).
vm(30,42).
vm(31,17).
vm(32,3).
vm(33,10).
vm(34,4).
vm(35,12).
vm(36,1).
vm(37,6).
vm(38,4).
vm(39,5).
vm(40,28).
vm(41,0).
vm(42,0).
vm(43,5).
vm(44,0).
vm(45,12).
vm(46,4).
vm(47,5).
vm(48,7).
vm(49,4).
