vm(0,9).
vm(1,17).
vm(2,50).
vm(3,50).
vm(4,8).
vm(5,0).
vm(6,0).
vm(7,12).
vm(8,7).
vm(9,17).
vm(10,14).
vm(11,95).
vm(12,2).
vm(13,23).
vm(14,152).
vm(15,5).
vm(16,5).
vm(17,0).
vm(18,0).
vm(19,17).
vm(20,0).
vm(21,2).
vm(22,4).
vm(23,0).
vm(24,0).
vm(25,4).
vm(26,22).
vm(27,15).
vm(28,1).
vm(29,12).
vm(30,54).
vm(31,20).
vm(32,12).
vm(33,11).
vm(34,4).
vm(35,22).
vm(36,2).
vm(37,7).
vm(38,4).
vm(39,5).
vm(40,19).
vm(41,2).
vm(42,52).
vm(43,5).
vm(44,0).
vm(45,8).
vm(46,0).
vm(47,5).
vm(48,11).
vm(49,0).
