vm(0,9).
vm(1,13).
vm(2,34).
vm(3,37).
vm(4,10).
vm(5,2).
vm(6,4).
vm(7,12).
vm(8,3).
vm(9,13).
vm(10,10).
vm(11,87).
vm(12,1).
vm(13,31).
vm(14,152).
vm(15,0).
vm(16,3).
vm(17,6).
vm(18,4).
vm(19,12).
vm(20,2).
vm(21,11).
vm(22,0).
vm(23,0).
vm(24,0).
vm(25,0).
vm(26,20).
vm(27,15).
vm(28,1).
vm(29,6).
vm(30,54).
vm(31,15).
vm(32,5).
vm(33,11).
vm(34,4).
vm(35,5).
vm(36,5).
vm(37,6).
vm(38,0).
vm(39,5).
vm(40,30).
vm(41,0).
vm(42,26).
vm(43,15).
vm(44,1).
vm(45,10).
vm(46,0).
vm(47,0).
vm(48,2).
vm(49,4).
