vm(0,9).
vm(1,17).
vm(2,52).
vm(3,45).
vm(4,12).
vm(5,2).
vm(6,4).
vm(7,5).
vm(8,0).
vm(9,13).
vm(10,10).
vm(11,70).
vm(12,8).
vm(13,29).
vm(14,154).
vm(15,0).
vm(16,3).
vm(17,6).
vm(18,2).
vm(19,17).
vm(20,2).
vm(21,13).
vm(22,4).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,8).
vm(27,15).
vm(28,0).
vm(29,7).
vm(30,54).
vm(31,10).
vm(32,7).
vm(33,10).
vm(34,0).
vm(35,5).
vm(36,3).
vm(37,6).
vm(38,6).
vm(39,7).
vm(40,26).
vm(41,0).
vm(42,0).
vm(43,5).
vm(44,0).
vm(45,8).
vm(46,0).
vm(47,5).
vm(48,15).
vm(49,0).
