vm(0,20).
vm(1,18).
vm(2,34).
vm(3,40).
vm(4,14).
vm(5,4).
vm(6,0).
vm(7,15).
vm(8,0).
vm(9,11).
vm(10,12).
vm(11,52).
vm(12,2).
vm(13,43).
vm(14,156).
vm(15,5).
vm(16,3).
vm(17,2).
vm(18,26).
vm(19,12).
vm(20,1).
vm(21,9).
vm(22,4).
vm(23,10).
vm(24,0).
vm(25,2).
vm(26,80).
vm(27,15).
vm(28,1).
vm(29,10).
vm(30,54).
vm(31,15).
vm(32,2).
vm(33,10).
vm(34,0).
vm(35,5).
vm(36,4).
vm(37,6).
vm(38,2).
vm(39,10).
vm(40,21).
vm(41,1).
vm(42,66).
vm(43,5).
vm(44,4).
vm(45,10).
vm(46,0).
vm(47,7).
vm(48,5).
vm(49,4).
