vm(0,11).
vm(1,14).
vm(2,34).
vm(3,52).
vm(4,17).
vm(5,4).
vm(6,4).
vm(7,12).
vm(8,0).
vm(9,13).
vm(10,10).
vm(11,155).
vm(12,1).
vm(13,47).
vm(14,150).
vm(15,5).
vm(16,9).
vm(17,2).
vm(18,4).
vm(19,17).
vm(20,1).
vm(21,17).
vm(22,8).
vm(23,0).
vm(24,1).
vm(25,2).
vm(26,34).
vm(27,15).
vm(28,0).
vm(29,8).
vm(30,50).
vm(31,25).
vm(32,3).
vm(33,13).
vm(34,0).
vm(35,30).
vm(36,8).
vm(37,9).
vm(38,4).
vm(39,7).
vm(40,29).
vm(41,0).
vm(42,32).
vm(43,0).
vm(44,3).
vm(45,8).
vm(46,0).
vm(47,0).
vm(48,4).
vm(49,2).
