vm(0,21).
vm(1,37).
vm(2,46).
vm(3,42).
vm(4,15).
vm(5,2).
vm(6,0).
vm(7,10).
vm(8,1).
vm(9,15).
vm(10,10).
vm(11,80).
vm(12,1).
vm(13,34).
vm(14,152).
vm(15,0).
vm(16,5).
vm(17,4).
vm(18,4).
vm(19,17).
vm(20,1).
vm(21,5).
vm(22,0).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,20).
vm(27,20).
vm(28,1).
vm(29,0).
vm(30,54).
vm(31,15).
vm(32,2).
vm(33,11).
vm(34,0).
vm(35,17).
vm(36,1).
vm(37,8).
vm(38,4).
vm(39,5).
vm(40,28).
vm(41,2).
vm(42,0).
vm(43,5).
vm(44,0).
vm(45,8).
vm(46,94).
vm(47,7).
vm(48,12).
vm(49,4).
