vm(0,8).
vm(1,14).
vm(2,12).
vm(3,50).
vm(4,16).
vm(5,2).
vm(6,4).
vm(7,5).
vm(8,1).
vm(9,11).
vm(10,14).
vm(11,65).
vm(12,2).
vm(13,42).
vm(14,152).
vm(15,5).
vm(16,7).
vm(17,4).
vm(18,6).
vm(19,22).
vm(20,0).
vm(21,9).
vm(22,0).
vm(23,0).
vm(24,0).
vm(25,2).
vm(26,10).
vm(27,20).
vm(28,0).
vm(29,12).
vm(30,50).
vm(31,20).
vm(32,1).
vm(33,10).
vm(34,0).
vm(35,7).
vm(36,2).
vm(37,3).
vm(38,2).
vm(39,2).
vm(40,20).
vm(41,10).
vm(42,6).
vm(43,5).
vm(44,0).
vm(45,4).
vm(46,0).
vm(47,5).
vm(48,20).
vm(49,2).
