vm(0,12).
vm(1,23).
vm(2,28).
vm(3,42).
vm(4,20).
vm(5,2).
vm(6,10).
vm(7,5).
vm(8,0).
vm(9,11).
vm(10,10).
vm(11,85).
vm(12,1).
vm(13,29).
vm(14,152).
vm(15,0).
vm(16,10).
vm(17,0).
vm(18,2).
vm(19,22).
vm(20,0).
vm(21,7).
vm(22,0).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,26).
vm(27,20).
vm(28,1).
vm(29,4).
vm(30,50).
vm(31,25).
vm(32,5).
vm(33,10).
vm(34,0).
vm(35,15).
vm(36,2).
vm(37,2).
vm(38,2).
vm(39,7).
vm(40,14).
vm(41,0).
vm(42,82).
vm(43,0).
vm(44,0).
vm(45,6).
vm(46,0).
vm(47,5).
vm(48,2).
vm(49,5).
