vm(0,21).
vm(1,22).
vm(2,28).
vm(3,42).
vm(4,17).
vm(5,0).
vm(6,8).
vm(7,12).
vm(8,3).
vm(9,19).
vm(10,12).
vm(11,80).
vm(12,2).
vm(13,30).
vm(14,140).
vm(15,0).
vm(16,2).
vm(17,4).
vm(18,4).
vm(19,17).
vm(20,0).
vm(21,5).
vm(22,4).
vm(23,0).
vm(24,1).
vm(25,0).
vm(26,24).
vm(27,10).
vm(28,0).
vm(29,6).
vm(30,54).
vm(31,15).
vm(32,5).
vm(33,9).
vm(34,0).
vm(35,2).
vm(36,2).
vm(37,1).
vm(38,2).
vm(39,7).
vm(40,15).
vm(41,0).
vm(42,56).
vm(43,5).
vm(44,3).
vm(45,17).
vm(46,0).
vm(47,0).
vm(48,3).
vm(49,2).
