vm(0,11).
vm(1,15).
vm(2,42).
vm(3,45).
vm(4,10).
vm(5,2).
vm(6,0).
vm(7,5).
vm(8,3).
vm(9,15).
vm(10,12).
vm(11,70).
vm(12,1).
vm(13,43).
vm(14,152).
vm(15,10).
vm(16,3).
vm(17,2).
vm(18,22).
vm(19,7).
vm(20,2).
vm(21,9).
vm(22,8).
vm(23,5).
vm(24,1).
vm(25,0).
vm(26,8).
vm(27,15).
vm(28,0).
vm(29,16).
vm(30,54).
vm(31,15).
vm(32,9).
vm(33,9).
vm(34,0).
vm(35,7).
vm(36,3).
vm(37,2).
vm(38,0).
vm(39,5).
vm(40,28).
vm(41,2).
vm(42,4).
vm(43,0).
vm(44,1).
vm(45,14).
vm(46,0).
vm(47,5).
vm(48,19).
vm(49,4).
