vm(0,16).
vm(1,19).
vm(2,68).
vm(3,45).
vm(4,14).
vm(5,2).
vm(6,4).
vm(7,15).
vm(8,2).
vm(9,13).
vm(10,10).
vm(11,42).
vm(12,1).
vm(13,48).
vm(14,156).
vm(15,5).
vm(16,4).
vm(17,4).
vm(18,4).
vm(19,17).
vm(20,1).
vm(21,7).
vm(22,4).
vm(23,0).
vm(24,0).
vm(25,0).
vm(26,20).
vm(27,15).
vm(28,4).
vm(29,12).
vm(30,54).
vm(31,10).
vm(32,6).
vm(33,11).
vm(34,0).
vm(35,5).
vm(36,5).
vm(37,7).
vm(38,4).
vm(39,7).
vm(40,29).
vm(41,0).
vm(42,4).
vm(43,0).
vm(44,1).
vm(45,10).
vm(46,0).
vm(47,0).
vm(48,15).
vm(49,0).
