vm(0,12).
vm(1,17).
vm(2,52).
vm(3,45).
vm(4,10).
vm(5,4).
vm(6,4).
vm(7,17).
vm(8,10).
vm(9,14).
vm(10,10).
vm(11,57).
vm(12,3).
vm(13,16).
vm(14,156).
vm(15,0).
vm(16,0).
vm(17,0).
vm(18,4).
vm(19,32).
vm(20,5).
vm(21,7).
vm(22,4).
vm(23,0).
vm(24,0).
vm(25,0).
vm(26,16).
vm(27,15).
vm(28,1).
vm(29,4).
vm(30,54).
vm(31,20).
vm(32,6).
vm(33,11).
vm(34,4).
vm(35,25).
vm(36,4).
vm(37,3).
vm(38,2).
vm(39,10).
vm(40,8).
vm(41,0).
vm(42,0).
vm(43,5).
vm(44,1).
vm(45,6).
vm(46,106).
vm(47,5).
vm(48,7).
vm(49,2).
