vm(0,16).
vm(1,23).
vm(2,10).
vm(3,40).
vm(4,17).
vm(5,6).
vm(6,0).
vm(7,10).
vm(8,0).
vm(9,13).
vm(10,14).
vm(11,42).
vm(12,2).
vm(13,44).
vm(14,130).
vm(15,5).
vm(16,4).
vm(17,4).
vm(18,4).
vm(19,12).
vm(20,6).
vm(21,5).
vm(22,4).
vm(23,10).
vm(24,1).
vm(25,2).
vm(26,12).
vm(27,25).
vm(28,0).
vm(29,10).
vm(30,58).
vm(31,15).
vm(32,3).
vm(33,9).
vm(34,0).
vm(35,10).
vm(36,3).
vm(37,3).
vm(38,2).
vm(39,2).
vm(40,28).
vm(41,0).
vm(42,6).
vm(43,15).
vm(44,2).
vm(45,10).
vm(46,132).
vm(47,5).
vm(48,8).
vm(49,3).
