vm(0,13).
vm(1,31).
vm(2,68).
vm(3,42).
vm(4,12).
vm(5,2).
vm(6,4).
vm(7,10).
vm(8,0).
vm(9,9).
vm(10,10).
vm(11,47).
vm(12,9).
vm(13,34).
vm(14,152).
vm(15,5).
vm(16,8).
vm(17,0).
vm(18,0).
vm(19,12).
vm(20,1).
vm(21,7).
vm(22,0).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,58).
vm(27,15).
vm(28,1).
vm(29,18).
vm(30,52).
vm(31,10).
vm(32,8).
vm(33,12).
vm(34,0).
vm(35,2).
vm(36,3).
vm(37,3).
vm(38,2).
vm(39,2).
vm(40,18).
vm(41,12).
vm(42,80).
vm(43,0).
vm(44,0).
vm(45,8).
vm(46,158).
vm(47,32).
vm(48,2).
vm(49,2).
