vm(0,9).
vm(1,14).
vm(2,36).
vm(3,42).
vm(4,11).
vm(5,4).
vm(6,4).
vm(7,15).
vm(8,4).
vm(9,15).
vm(10,14).
vm(11,100).
vm(12,2).
vm(13,52).
vm(14,150).
vm(15,0).
vm(16,8).
vm(17,11).
vm(18,0).
vm(19,12).
vm(20,1).
vm(21,13).
vm(22,4).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,34).
vm(27,15).
vm(28,1).
vm(29,12).
vm(30,50).
vm(31,20).
vm(32,10).
vm(33,10).
vm(34,0).
vm(35,7).
vm(36,0).
vm(37,1).
vm(38,2).
vm(39,2).
vm(40,23).
vm(41,1).
vm(42,74).
vm(43,10).
vm(44,2).
vm(45,10).
vm(46,0).
vm(47,5).
vm(48,11).
vm(49,4).
