vm(0,7).
vm(1,16).
vm(2,16).
vm(3,42).
vm(4,9).
vm(5,9).
vm(6,0).
vm(7,12).
vm(8,1).
vm(9,13).
vm(10,14).
vm(11,80).
vm(12,2).
vm(13,65).
vm(14,152).
vm(15,5).
vm(16,8).
vm(17,2).
vm(18,2).
vm(19,17).
vm(20,2).
vm(21,9).
vm(22,0).
vm(23,10).
vm(24,1).
vm(25,0).
vm(26,38).
vm(27,35).
vm(28,1).
vm(29,4).
vm(30,48).
vm(31,15).
vm(32,6).
vm(33,10).
vm(34,2).
vm(35,5).
vm(36,3).
vm(37,2).
vm(38,2).
vm(39,5).
vm(40,25).
vm(41,0).
vm(42,42).
vm(43,5).
vm(44,0).
vm(45,10).
vm(46,134).
vm(47,0).
vm(48,16).
vm(49,2).
