vm(0,14).
vm(1,20).
vm(2,10).
vm(3,45).
vm(4,16).
vm(5,4).
vm(6,6).
vm(7,12).
vm(8,1).
vm(9,15).
vm(10,10).
vm(11,60).
vm(12,2).
vm(13,27).
vm(14,156).
vm(15,5).
vm(16,2).
vm(17,0).
vm(18,2).
vm(19,17).
vm(20,0).
vm(21,3).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,2).
vm(26,8).
vm(27,20).
vm(28,0).
vm(29,2).
vm(30,62).
vm(31,10).
vm(32,5).
vm(33,9).
vm(34,4).
vm(35,5).
vm(36,2).
vm(37,7).
vm(38,4).
vm(39,12).
vm(40,29).
vm(41,0).
vm(42,4).
vm(43,5).
vm(44,0).
vm(45,4).
vm(46,0).
vm(47,0).
vm(48,20).
vm(49,4).
