vm(0,11).
vm(1,19).
vm(2,30).
vm(3,35).
vm(4,13).
vm(5,6).
vm(6,4).
vm(7,17).
vm(8,6).
vm(9,16).
vm(10,10).
vm(11,115).
vm(12,4).
vm(13,49).
vm(14,156).
vm(15,5).
vm(16,4).
vm(17,0).
vm(18,6).
vm(19,17).
vm(20,0).
vm(21,13).
vm(22,0).
vm(23,5).
vm(24,1).
vm(25,0).
vm(26,22).
vm(27,15).
vm(28,5).
vm(29,2).
vm(30,46).
vm(31,10).
vm(32,5).
vm(33,14).
vm(34,8).
vm(35,5).
vm(36,3).
vm(37,4).
vm(38,8).
vm(39,5).
vm(40,20).
vm(41,2).
vm(42,0).
vm(43,5).
vm(44,1).
vm(45,12).
vm(46,4).
vm(47,0).
vm(48,18).
vm(49,0).
