vm(0,11).
vm(1,31).
vm(2,8).
vm(3,47).
vm(4,2).
vm(5,4).
vm(6,8).
vm(7,15).
vm(8,3).
vm(9,13).
vm(10,10).
vm(11,50).
vm(12,2).
vm(13,13).
vm(14,138).
vm(15,5).
vm(16,6).
vm(17,0).
vm(18,4).
vm(19,22).
vm(20,0).
vm(21,5).
vm(22,0).
vm(23,5).
vm(24,0).
vm(25,6).
vm(26,0).
vm(27,15).
vm(28,1).
vm(29,2).
vm(30,50).
vm(31,10).
vm(32,5).
vm(33,9).
vm(34,2).
vm(35,5).
vm(36,4).
vm(37,6).
vm(38,2).
vm(39,2).
vm(40,16).
vm(41,0).
vm(42,8).
vm(43,0).
vm(44,1).
vm(45,6).
vm(46,158).
vm(47,5).
vm(48,4).
vm(49,0).
