vm(0,13).
vm(1,17).
vm(2,46).
vm(3,40).
vm(4,15).
vm(5,2).
vm(6,6).
vm(7,17).
vm(8,3).
vm(9,20).
vm(10,14).
vm(11,62).
vm(12,2).
vm(13,60).
vm(14,136).
vm(15,5).
vm(16,6).
vm(17,8).
vm(18,4).
vm(19,22).
vm(20,1).
vm(21,5).
vm(22,8).
vm(23,5).
vm(24,0).
vm(25,0).
vm(26,8).
vm(27,15).
vm(28,0).
vm(29,12).
vm(30,50).
vm(31,10).
vm(32,5).
vm(33,9).
vm(34,4).
vm(35,10).
vm(36,2).
vm(37,6).
vm(38,4).
vm(39,7).
vm(40,18).
vm(41,0).
vm(42,4).
vm(43,5).
vm(44,2).
vm(45,15).
vm(46,0).
vm(47,0).
vm(48,4).
vm(49,4).
