vm(0,13).
vm(1,32).
vm(2,42).
vm(3,47).
vm(4,23).
vm(5,2).
vm(6,4).
vm(7,22).
vm(8,3).
vm(9,17).
vm(10,12).
vm(11,47).
vm(12,1).
vm(13,38).
vm(14,146).
vm(15,0).
vm(16,2).
vm(17,6).
vm(18,0).
vm(19,17).
vm(20,1).
vm(21,5).
vm(22,0).
vm(23,0).
vm(24,2).
vm(25,0).
vm(26,4).
vm(27,15).
vm(28,0).
vm(29,8).
vm(30,46).
vm(31,15).
vm(32,6).
vm(33,7).
vm(34,2).
vm(35,7).
vm(36,1).
vm(37,3).
vm(38,4).
vm(39,2).
vm(40,14).
vm(41,1).
vm(42,50).
vm(43,0).
vm(44,0).
vm(45,14).
vm(46,0).
vm(47,7).
vm(48,21).
vm(49,2).
