vm(0,17).
vm(1,38).
vm(2,74).
vm(3,55).
vm(4,19).
vm(5,4).
vm(6,0).
vm(7,10).
vm(8,1).
vm(9,13).
vm(10,10).
vm(11,87).
vm(12,2).
vm(13,41).
vm(14,154).
vm(15,5).
vm(16,4).
vm(17,0).
vm(18,0).
vm(19,7).
vm(20,0).
vm(21,13).
vm(22,0).
vm(23,15).
vm(24,1).
vm(25,2).
vm(26,12).
vm(27,20).
vm(28,0).
vm(29,4).
vm(30,54).
vm(31,10).
vm(32,3).
vm(33,10).
vm(34,0).
vm(35,30).
vm(36,6).
vm(37,8).
vm(38,4).
vm(39,5).
vm(40,29).
vm(41,2).
vm(42,4).
vm(43,15).
vm(44,1).
vm(45,6).
vm(46,20).
vm(47,0).
vm(48,15).
vm(49,0).
