vm(0,8).
vm(1,14).
vm(2,68).
vm(3,37).
vm(4,9).
vm(5,4).
vm(6,0).
vm(7,10).
vm(8,0).
vm(9,12).
vm(10,14).
vm(11,65).
vm(12,3).
vm(13,45).
vm(14,152).
vm(15,0).
vm(16,9).
vm(17,4).
vm(18,0).
vm(19,12).
vm(20,0).
vm(21,9).
vm(22,0).
vm(23,5).
vm(24,2).
vm(25,0).
vm(26,18).
vm(27,30).
vm(28,0).
vm(29,6).
vm(30,48).
vm(31,10).
vm(32,11).
vm(33,9).
vm(34,2).
vm(35,10).
vm(36,3).
vm(37,5).
vm(38,2).
vm(39,0).
vm(40,33).
vm(41,1).
vm(42,2).
vm(43,10).
vm(44,4).
vm(45,6).
vm(46,0).
vm(47,12).
vm(48,6).
vm(49,6).
