vm(0,11).
vm(1,49).
vm(2,18).
vm(3,40).
vm(4,12).
vm(5,4).
vm(6,0).
vm(7,17).
vm(8,0).
vm(9,17).
vm(10,10).
vm(11,32).
vm(12,1).
vm(13,62).
vm(14,152).
vm(15,5).
vm(16,5).
vm(17,0).
vm(18,6).
vm(19,17).
vm(20,1).
vm(21,9).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,2).
vm(26,38).
vm(27,20).
vm(28,1).
vm(29,0).
vm(30,50).
vm(31,20).
vm(32,10).
vm(33,12).
vm(34,2).
vm(35,2).
vm(36,13).
vm(37,5).
vm(38,2).
vm(39,7).
vm(40,16).
vm(41,0).
vm(42,24).
vm(43,5).
vm(44,0).
vm(45,6).
vm(46,0).
vm(47,0).
vm(48,8).
vm(49,4).
