vm(0,11).
vm(1,17).
vm(2,16).
vm(3,35).
vm(4,14).
vm(5,0).
vm(6,4).
vm(7,22).
vm(8,1).
vm(9,17).
vm(10,10).
vm(11,70).
vm(12,3).
vm(13,46).
vm(14,154).
vm(15,5).
vm(16,3).
vm(17,2).
vm(18,4).
vm(19,17).
vm(20,2).
vm(21,9).
vm(22,4).
vm(23,5).
vm(24,1).
vm(25,0).
vm(26,24).
vm(27,20).
vm(28,0).
vm(29,4).
vm(30,46).
vm(31,10).
vm(32,5).
vm(33,10).
vm(34,0).
vm(35,12).
vm(36,1).
vm(37,2).
vm(38,6).
vm(39,7).
vm(40,26).
vm(41,0).
vm(42,0).
vm(43,15).
vm(44,1).
vm(45,10).
vm(46,84).
vm(47,0).
vm(48,4).
vm(49,0).
