vm(0,13).
vm(1,48).
vm(2,2).
vm(3,37).
vm(4,14).
vm(5,8).
vm(6,4).
vm(7,5).
vm(8,2).
vm(9,15).
vm(10,8).
vm(11,62).
vm(12,2).
vm(13,61).
vm(14,150).
vm(15,5).
vm(16,11).
vm(17,4).
vm(18,6).
vm(19,12).
vm(20,1).
vm(21,15).
vm(22,4).
vm(23,5).
vm(24,0).
vm(25,2).
vm(26,46).
vm(27,20).
vm(28,0).
vm(29,4).
vm(30,50).
vm(31,15).
vm(32,7).
vm(33,11).
vm(34,4).
vm(35,5).
vm(36,2).
vm(37,8).
vm(38,4).
vm(39,5).
vm(40,26).
vm(41,4).
vm(42,4).
vm(43,10).
vm(44,0).
vm(45,10).
vm(46,0).
vm(47,5).
vm(48,6).
vm(49,0).
