vm(0,14).
vm(1,20).
vm(2,18).
vm(3,45).
vm(4,21).
vm(5,4).
vm(6,0).
vm(7,17).
vm(8,1).
vm(9,15).
vm(10,16).
vm(11,65).
vm(12,1).
vm(13,47).
vm(14,152).
vm(15,10).
vm(16,4).
vm(17,6).
vm(18,22).
vm(19,17).
vm(20,1).
vm(21,9).
vm(22,0).
vm(23,0).
vm(24,0).
vm(25,4).
vm(26,22).
vm(27,15).
vm(28,0).
vm(29,6).
vm(30,54).
vm(31,10).
vm(32,4).
vm(33,10).
vm(34,0).
vm(35,5).
vm(36,1).
vm(37,0).
vm(38,4).
vm(39,0).
vm(40,18).
vm(41,0).
vm(42,4).
vm(43,5).
vm(44,0).
vm(45,6).
vm(46,116).
vm(47,0).
vm(48,0).
vm(49,2).
