vm(0,8).
vm(1,12).
vm(2,36).
vm(3,42).
vm(4,11).
vm(5,0).
vm(6,0).
vm(7,10).
vm(8,1).
vm(9,17).
vm(10,14).
vm(11,67).
vm(12,1).
vm(13,41).
vm(14,154).
vm(15,5).
vm(16,4).
vm(17,0).
vm(18,4).
vm(19,7).
vm(20,1).
vm(21,7).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,4).
vm(26,18).
vm(27,15).
vm(28,1).
vm(29,2).
vm(30,52).
vm(31,20).
vm(32,4).
vm(33,10).
vm(34,0).
vm(35,12).
vm(36,1).
vm(37,1).
vm(38,6).
vm(39,7).
vm(40,13).
vm(41,1).
vm(42,54).
vm(43,5).
vm(44,0).
vm(45,6).
vm(46,0).
vm(47,45).
vm(48,5).
vm(49,2).
