vm(0,16).
vm(1,15).
vm(2,28).
vm(3,45).
vm(4,13).
vm(5,2).
vm(6,0).
vm(7,10).
vm(8,0).
vm(9,11).
vm(10,10).
vm(11,95).
vm(12,2).
vm(13,22).
vm(14,156).
vm(15,0).
vm(16,4).
vm(17,2).
vm(18,4).
vm(19,12).
vm(20,1).
vm(21,13).
vm(22,4).
vm(23,0).
vm(24,2).
vm(25,0).
vm(26,18).
vm(27,15).
vm(28,1).
vm(29,6).
vm(30,52).
vm(31,10).
vm(32,7).
vm(33,9).
vm(34,0).
vm(35,15).
vm(36,2).
vm(37,3).
vm(38,2).
vm(39,2).
vm(40,18).
vm(41,1).
vm(42,0).
vm(43,5).
vm(44,0).
vm(45,21).
vm(46,0).
vm(47,5).
vm(48,6).
vm(49,2).
