vm(0,11).
vm(1,12).
vm(2,62).
vm(3,40).
vm(4,15).
vm(5,2).
vm(6,0).
vm(7,12).
vm(8,0).
vm(9,13).
vm(10,14).
vm(11,67).
vm(12,1).
vm(13,45).
vm(14,152).
vm(15,0).
vm(16,2).
vm(17,2).
vm(18,4).
vm(19,7).
vm(20,0).
vm(21,5).
vm(22,4).
vm(23,5).
vm(24,2).
vm(25,0).
vm(26,40).
vm(27,10).
vm(28,0).
vm(29,2).
vm(30,58).
vm(31,10).
vm(32,7).
vm(33,10).
vm(34,2).
vm(35,20).
vm(36,6).
vm(37,1).
vm(38,2).
vm(39,2).
vm(40,24).
vm(41,1).
vm(42,46).
vm(43,5).
vm(44,1).
vm(45,8).
vm(46,100).
vm(47,0).
vm(48,6).
vm(49,1).
