vm(0,9).
vm(1,31).
vm(2,42).
vm(3,47).
vm(4,10).
vm(5,0).
vm(6,0).
vm(7,7).
vm(8,1).
vm(9,13).
vm(10,10).
vm(11,50).
vm(12,1).
vm(13,11).
vm(14,150).
vm(15,5).
vm(16,3).
vm(17,0).
vm(18,0).
vm(19,12).
vm(20,8).
vm(21,2).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,0).
vm(26,12).
vm(27,10).
vm(28,0).
vm(29,4).
vm(30,46).
vm(31,15).
vm(32,4).
vm(33,7).
vm(34,0).
vm(35,7).
vm(36,4).
vm(37,3).
vm(38,2).
vm(39,5).
vm(40,8).
vm(41,3).
vm(42,44).
vm(43,5).
vm(44,2).
vm(45,6).
vm(46,0).
vm(47,0).
vm(48,11).
vm(49,2).
