vm(0,18).
vm(1,28).
vm(2,38).
vm(3,40).
vm(4,13).
vm(5,4).
vm(6,10).
vm(7,12).
vm(8,1).
vm(9,14).
vm(10,10).
vm(11,40).
vm(12,4).
vm(13,52).
vm(14,148).
vm(15,5).
vm(16,6).
vm(17,0).
vm(18,2).
vm(19,12).
vm(20,0).
vm(21,7).
vm(22,0).
vm(23,15).
vm(24,1).
vm(25,0).
vm(26,12).
vm(27,15).
vm(28,0).
vm(29,6).
vm(30,36).
vm(31,15).
vm(32,8).
vm(33,10).
vm(34,0).
vm(35,10).
vm(36,4).
vm(37,4).
vm(38,2).
vm(39,7).
vm(40,21).
vm(41,4).
vm(42,80).
vm(43,5).
vm(44,3).
vm(45,4).
vm(46,0).
vm(47,17).
vm(48,3).
vm(49,4).
