vm(0,16).
vm(1,23).
vm(2,58).
vm(3,35).
vm(4,15).
vm(5,2).
vm(6,0).
vm(7,22).
vm(8,0).
vm(9,22).
vm(10,10).
vm(11,47).
vm(12,6).
vm(13,32).
vm(14,154).
vm(15,0).
vm(16,4).
vm(17,0).
vm(18,6).
vm(19,12).
vm(20,0).
vm(21,13).
vm(22,4).
vm(23,5).
vm(24,1).
vm(25,2).
vm(26,54).
vm(27,20).
vm(28,1).
vm(29,4).
vm(30,50).
vm(31,10).
vm(32,3).
vm(33,9).
vm(34,0).
vm(35,7).
vm(36,6).
vm(37,5).
vm(38,4).
vm(39,2).
vm(40,17).
vm(41,1).
vm(42,60).
vm(43,5).
vm(44,1).
vm(45,6).
vm(46,0).
vm(47,0).
vm(48,13).
vm(49,2).
