vm(0,19).
vm(1,20).
vm(2,64).
vm(3,37).
vm(4,12).
vm(5,0).
vm(6,6).
vm(7,17).
vm(8,2).
vm(9,13).
vm(10,10).
vm(11,67).
vm(12,2).
vm(13,34).
vm(14,150).
vm(15,0).
vm(16,9).
vm(17,2).
vm(18,2).
vm(19,7).
vm(20,1).
vm(21,9).
vm(22,0).
vm(23,10).
vm(24,0).
vm(25,0).
vm(26,22).
vm(27,15).
vm(28,1).
vm(29,4).
vm(30,58).
vm(31,10).
vm(32,3).
vm(33,10).
vm(34,0).
vm(35,15).
vm(36,0).
vm(37,1).
vm(38,2).
vm(39,2).
vm(40,29).
vm(41,1).
vm(42,8).
vm(43,5).
vm(44,0).
vm(45,10).
vm(46,36).
vm(47,45).
vm(48,0).
vm(49,4).
