vm(0,16).
vm(1,20).
vm(2,52).
vm(3,35).
vm(4,15).
vm(5,0).
vm(6,0).
vm(7,15).
vm(8,1).
vm(9,17).
vm(10,10).
vm(11,45).
vm(12,1).
vm(13,41).
vm(14,152).
vm(15,0).
vm(16,10).
vm(17,0).
vm(18,6).
vm(19,17).
vm(20,4).
vm(21,9).
vm(22,0).
vm(23,10).
vm(24,0).
vm(25,9).
vm(26,26).
vm(27,15).
vm(28,1).
vm(29,4).
vm(30,54).
vm(31,15).
vm(32,5).
vm(33,8).
vm(34,4).
vm(35,17).
vm(36,3).
vm(37,2).
vm(38,0).
vm(39,5).
vm(40,24).
vm(41,3).
vm(42,4).
vm(43,0).
vm(44,1).
vm(45,8).
vm(46,126).
vm(47,7).
vm(48,5).
vm(49,0).
