vm(0,12).
vm(1,20).
vm(2,64).
vm(3,42).
vm(4,10).
vm(5,4).
vm(6,4).
vm(7,17).
vm(8,2).
vm(9,15).
vm(10,10).
vm(11,42).
vm(12,4).
vm(13,34).
vm(14,150).
vm(15,0).
vm(16,11).
vm(17,0).
vm(18,4).
vm(19,47).
vm(20,3).
vm(21,7).
vm(22,4).
vm(23,10).
vm(24,1).
vm(25,0).
vm(26,48).
vm(27,10).
vm(28,1).
vm(29,8).
vm(30,50).
vm(31,10).
vm(32,8).
vm(33,9).
vm(34,0).
vm(35,10).
vm(36,2).
vm(37,2).
vm(38,2).
vm(39,2).
vm(40,22).
vm(41,0).
vm(42,48).
vm(43,0).
vm(44,1).
vm(45,6).
vm(46,64).
vm(47,5).
vm(48,14).
vm(49,3).
