vm(0,22).
vm(1,33).
vm(2,4).
vm(3,37).
vm(4,20).
vm(5,10).
vm(6,8).
vm(7,10).
vm(8,1).
vm(9,13).
vm(10,10).
vm(11,35).
vm(12,9).
vm(13,14).
vm(14,152).
vm(15,5).
vm(16,4).
vm(17,4).
vm(18,4).
vm(19,12).
vm(20,1).
vm(21,5).
vm(22,0).
vm(23,10).
vm(24,1).
vm(25,2).
vm(26,14).
vm(27,10).
vm(28,0).
vm(29,4).
vm(30,58).
vm(31,15).
vm(32,4).
vm(33,8).
vm(34,4).
vm(35,17).
vm(36,6).
vm(37,4).
vm(38,4).
vm(39,7).
vm(40,26).
vm(41,2).
vm(42,6).
vm(43,5).
vm(44,3).
vm(45,6).
vm(46,0).
vm(47,5).
vm(48,14).
vm(49,0).
