vm(0,13).
vm(1,47).
vm(2,4).
vm(3,52).
vm(4,12).
vm(5,2).
vm(6,0).
vm(7,10).
vm(8,1).
vm(9,17).
vm(10,10).
vm(11,67).
vm(12,2).
vm(13,40).
vm(14,150).
vm(15,5).
vm(16,3).
vm(17,10).
vm(18,0).
vm(19,12).
vm(20,1).
vm(21,17).
vm(22,0).
vm(23,0).
vm(24,1).
vm(25,3).
vm(26,20).
vm(27,20).
vm(28,1).
vm(29,8).
vm(30,44).
vm(31,15).
vm(32,4).
vm(33,11).
vm(34,0).
vm(35,15).
vm(36,3).
vm(37,1).
vm(38,2).
vm(39,2).
vm(40,19).
vm(41,1).
vm(42,6).
vm(43,5).
vm(44,3).
vm(45,14).
vm(46,124).
vm(47,0).
vm(48,11).
vm(49,10).
